"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","981607427.198877","1139434503.72889","1351923640.91077","1515909822.86634","1575961100.76557","1701452873.81139","1801538336.97676","1933189215.44814","2091786180.15635","2145066958.3561","2170502947.57596","2323455516.53157","2369738480.01402","2399076773.30305","2581804607.81403","2505092558.00282","2423084673.45471","2470953856.9732","2666444969.3824","2698824912.71875","2727178946.35418","2776274326.82278","2773756030.74943","2481963897.09079","2390502793.29609","2472880828.36298","2439005748.52239","2541400876.22235","2562957745.21181","2551409422.53889","2546020205.29152","2579895285.13211","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7465114629.45783","8124454291.89637","8239343660.83276","9164598458.53793","9655582953.98019","10990594706.5564","11421973770.8233","13865194314.7185","15856574731.4411","15924179997.7914","17954877146.6564","18960483969.8941","19477070577.8584","19759744157.4377","20206376461.4103","20744935406.0955","20958745169.393",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","26521449164.1151","25354505077.5016","25354505077.5016","26419394652.9057","28004558903.8942","28984718322.577","29825275659.0343","31042966694.3324","32945556123.5913","32959268545.6627","31822141255.443","32137613012.7029","30261328944.0939","23003628099.9176","23311730283.7517","26808489833.043","30439530821.7894","32653786719.2065","34185623675.9806","34931379541.6446","35998401926.5017","37512494191.7837","42638834055.0001","43913671239.4261","48723474947.8463","56046084737.5161","62518109036.7694","71276907517.7698","79235785608.8078","79916193295.5028","83799496611.2004","86708999523.6243","94115810017.4361","98778862978.4373","103542597661.716","104519600362.38","101822893037.816","101673002177.645","99503815532.2356",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5323413429.2078","5629277349.93579","5795262041.82743","5859296109.50071","5785961355.99125","5888988727.39149","6220965342.69439","6171953924.17107","6084309730.97047","6682795837.17283","6042875354.54374","4350740837.66611","4038048267.97926","4424061926.33187","4791385885.98412","5429710284.36621","5923813890.03275","5276934356.01002","5742892287.97611","6483145173.3945","6933726105.57995","7508536855.2307","7849421473.13165","8283498466.36982","8739919123.61791","9223229205.55263","9767407472.26188","10351496684.5109","11127855784.8838","11500638274.9451","11926953213.6961","12230542524.082","12403913643.3434","12528199360.3781","12749948526.2141","13034272401.1992","13470920485.9895","13987748469.2562","14547875720.1519",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1022930411.1163","1070491206.24643","1157733493.6236","1247903187.07193","1318020243.18285","1325166623.52504","1368947306.81745","1407805910.58157","1428402113.57242","1428995717.42599","1460558340.33864","1458623472.81247","1476804647.19237","1502945836.75764","1529768711.11779","1565281267.29392","1616204903.65455","1705857764.18649","1792759723.25731","1879296849.01282","1950360346.83369","2000016577.27601","2018600970.43982","1997779424.18469","2045390257.51495","2101791877.24365","2199519738.00303","2398964977.79976","2475606878.11635","2577084005.24761","2668012839.88281","2789321202.45229","2969818586.67949","3331207491.64175","3585973903.04456","3851227772.83026","4025933064.029","4027543882.80023","3681577710.754","3545703433.76383","3355695364.23841","3199771534.45741","3148088242.81882","3159158337.77854","3231113955.01675","3258326510.42858","3319880351.13342","3377115826.62178","3432140710.39217",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","570027172031.836","660207374782.252","714591365977.844","709858174191.308","791728562590.464","864089995145.983","889303207327.125","808618835940.361","753325924622.254","763645959218.345","746144807435.612","781255395858.522","777396101235.876","820981929390.932","840430133271.561","950618029271.925","965081503010.285","1013233007531.97","1046302142422.16","1079827632801.27","1109510377946.21","1160499062308.71","1209902760579","1273625553603.44","1296504900982.49","1367555864728.6","1389622981186.44","1397770690185.39","1472128650364.53","1609678746703.98","1701693647612.98","1812240673511.84","1895086876478.5","2005365297615.54","2013954614815.85","2110062113014.68","2186638091231.57","2332195557870.16","2406036401061.97","2465109419491.82","2546645826027.27","2629343696594.03","2655634026849.26","2711315947586.83",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1953","80386802831.8584","79108971545.2688","95661395017.0183","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6065","106281391095.984","125760629081.007","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.96","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.879","300996902491.491","285215869952.349","289787338325.391","309870388019.061","323766916269.571","340127978216.474","355089176310.415","373073383253.914","384222464261.402","387259360108.918","392773315180.395",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","220606374392.254","209157368731.779","207618683386.485","216648213592.787","220051190931.379","208632681046.742","221470636587.663","227461126795.486","224981952135.064","208880107086.685","203726588308.536","222333162871.504","239980394235.249","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455825423287.839","446342760088.163","458253820042.814","446730617131.025",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6357857589.75576","5613988348.08092","3267341064.49481","2979815090.2181","3140725188.01139","3357435176.22065","3554362204.25785","3672405405.82638","3940491000.05925","4070527203.13965","4310688308.16703","4722645335.95263","5345387542.93892","6095922452.74993","6734033974.76835","7667755681.43806","8679746346.03114","9873142200.55556","10554389012.5961","9060944166.36197","9260284937.79782","9695518329.76298","10393595649.8606","10736584306.306","11123101341.3964","11479040584.2061","11501998665.3545","12364648565.331","13007610290.7282",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405286","573462555.066079","576000000","577691629.955947","552317180.61674","537092511.013216","542167400.881057","548933920.704846","534555066.079295","505797356.828194","",
